Path,GET,POST,DELETE,PUT,Summary
``/series/{id}/attachments/{name}/data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1data/get>`__,,,,Get attachment
``/series/{id}/attachments/{name}/info``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1info/get>`__,,,,Get info about the attachment
``/series/{id}/attachments/{name}/is-compressed``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1is-compressed/get>`__,,,,Is attachment compressed?
``/series/{id}/attachments/{name}/md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1md5/get>`__,,,,Get MD5 of attachment
``/series/{id}/attachments/{name}/size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1size/get>`__,,,,Get size of attachment
``/series/{id}/attachments/{name}/uncompress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1uncompress/post>`__,,,Uncompress attachment
``/series/{id}/attachments/{name}/verify-md5``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1attachments~1{name}~1verify-md5/post>`__,,,Verify attachment
``/series/{id}/instances``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1instances/get>`__,,,,Get child instances
``/series/{id}/instances-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1instances-tags/get>`__,,,,Get tags of instances
``/series/{id}/labels``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1labels/get>`__,,,,List labels
``/series/{id}/labels/{label}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1labels~1{label}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1labels~1{label}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1labels~1{label}/put>`__,Test label
``/series/{id}/media``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1media/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1media/post>`__,,,Create DICOMDIR media
``/series/{id}/metadata``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1metadata/get>`__,,,,List metadata
``/series/{id}/metadata/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1metadata~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1metadata~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1metadata~1{name}/put>`__,Get metadata
``/series/{id}/modify``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1modify/post>`__,,,Modify series
``/series/{id}/module``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1module/get>`__,,,,Get series module
``/series/{id}/numpy``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1numpy/get>`__,,,,Decode series for numpy
``/series/{id}/ordered-slices``,`(get) <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1ordered-slices/get>`__,,,,*(deprecated)* Order the slices
``/series/{id}/patient``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1patient/get>`__,,,,Get parent patient
``/series/{id}/reconstruct``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1reconstruct/post>`__,,,Reconstruct tags & optionally files of series
``/series/{id}/shared-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1shared-tags/get>`__,,,,Get shared tags
``/series/{id}/statistics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1statistics/get>`__,,,,Get series statistics
``/series/{id}/study``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Series/paths/~1series~1{id}~1study/get>`__,,,,Get parent study
``/statistics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1statistics/get>`__,,,,Get database statistics
``/storage-commitment/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1storage-commitment~1{id}/get>`__,,,,Get storage commitment report
``/storage-commitment/{id}/remove``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Networking/paths/~1storage-commitment~1{id}~1remove/post>`__,,,Remove after storage commitment
``/studies``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies/get>`__,,,,List the available studies
``/studies/{id}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}/delete>`__,,Get information about some study
``/studies/{id}/anonymize``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1anonymize/post>`__,,,Anonymize study
``/studies/{id}/archive``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1archive/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1archive/post>`__,,,Create ZIP archive
``/studies/{id}/attachments``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments/get>`__,,,,List attachments
``/studies/{id}/attachments/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Other/paths/~1studies~1{id}~1attachments~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}/put>`__,List operations on attachments
``/studies/{id}/attachments/{name}/compress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1compress/post>`__,,,Compress attachment
``/studies/{id}/attachments/{name}/compressed-data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1compressed-data/get>`__,,,,Get attachment (no decompression)
``/studies/{id}/attachments/{name}/compressed-md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1compressed-md5/get>`__,,,,Get MD5 of attachment on disk
``/studies/{id}/attachments/{name}/compressed-size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1compressed-size/get>`__,,,,Get size of attachment on disk
``/studies/{id}/attachments/{name}/data``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1data/get>`__,,,,Get attachment
``/studies/{id}/attachments/{name}/info``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1info/get>`__,,,,Get info about the attachment
``/studies/{id}/attachments/{name}/is-compressed``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1is-compressed/get>`__,,,,Is attachment compressed?
``/studies/{id}/attachments/{name}/md5``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1md5/get>`__,,,,Get MD5 of attachment
``/studies/{id}/attachments/{name}/size``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1size/get>`__,,,,Get size of attachment
``/studies/{id}/attachments/{name}/uncompress``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1uncompress/post>`__,,,Uncompress attachment
``/studies/{id}/attachments/{name}/verify-md5``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1attachments~1{name}~1verify-md5/post>`__,,,Verify attachment
``/studies/{id}/instances``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1instances/get>`__,,,,Get child instances
``/studies/{id}/instances-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1instances-tags/get>`__,,,,Get tags of instances
``/studies/{id}/labels``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1labels/get>`__,,,,List labels
``/studies/{id}/labels/{label}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1labels~1{label}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1labels~1{label}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1labels~1{label}/put>`__,Test label
``/studies/{id}/media``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1media/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1media/post>`__,,,Create DICOMDIR media
``/studies/{id}/merge``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1merge/post>`__,,,Merge study
``/studies/{id}/metadata``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1metadata/get>`__,,,,List metadata
``/studies/{id}/metadata/{name}``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1metadata~1{name}/get>`__,,`DELETE <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1metadata~1{name}/delete>`__,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1metadata~1{name}/put>`__,Get metadata
``/studies/{id}/modify``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1modify/post>`__,,,Modify study
``/studies/{id}/module``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1module/get>`__,,,,Get study module
``/studies/{id}/module-patient``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1module-patient/get>`__,,,,Get patient module of study
``/studies/{id}/patient``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1patient/get>`__,,,,Get parent patient
``/studies/{id}/reconstruct``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1reconstruct/post>`__,,,Reconstruct tags & optionally files of study
``/studies/{id}/series``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1series/get>`__,,,,Get child series
``/studies/{id}/shared-tags``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1shared-tags/get>`__,,,,Get shared tags
``/studies/{id}/split``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1split/post>`__,,,Split study
``/studies/{id}/statistics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Studies/paths/~1studies~1{id}~1statistics/get>`__,,,,Get study statistics
``/system``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1system/get>`__,,,,Get system information
``/tools``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Other/paths/~1tools/get>`__,,,,List operations
``/tools/accepted-sop-classes``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1accepted-sop-classes/get>`__,,,,Get accepted SOPClassUID
``/tools/accepted-transfer-syntaxes``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1accepted-transfer-syntaxes/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1accepted-transfer-syntaxes/put>`__,Get accepted transfer syntaxes
``/tools/bulk-anonymize``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1bulk-anonymize/post>`__,,,Anonymize a set of resources
``/tools/bulk-content``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1bulk-content/post>`__,,,Describe a set of resources
``/tools/bulk-delete``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1bulk-delete/post>`__,,,Delete a set of resources
``/tools/bulk-modify``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1bulk-modify/post>`__,,,Modify a set of resources
``/tools/count-resources``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1count-resources/post>`__,,,Count local resources
``/tools/create-archive``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-archive/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-archive/post>`__,,,Create ZIP archive
``/tools/create-dicom``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-dicom/post>`__,,,Create one DICOM instance
``/tools/create-media``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-media/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-media/post>`__,,,Create DICOMDIR media
``/tools/create-media-extended``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-media-extended/get>`__,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1create-media-extended/post>`__,,,Create DICOMDIR media
``/tools/default-encoding``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1default-encoding/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1default-encoding/put>`__,Get default encoding
``/tools/dicom-conformance``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1dicom-conformance/get>`__,,,,Get DICOM conformance
``/tools/dicom-echo``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1dicom-echo/post>`__,,,Trigger C-ECHO SCU
``/tools/execute-script``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1execute-script/post>`__,,,Execute Lua script
``/tools/find``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1find/post>`__,,,Look for local resources
``/tools/generate-uid``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1generate-uid/get>`__,,,,Generate an identifier
``/tools/invalidate-tags``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1invalidate-tags/post>`__,,,Invalidate DICOM-as-JSON summaries
``/tools/labels``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1labels/get>`__,,,,Get all the used labels
``/tools/log-level``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level/put>`__,Get main log level
``/tools/log-level-dicom``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-dicom/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-dicom/put>`__,Get log level for `dicom`
``/tools/log-level-generic``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-generic/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-generic/put>`__,Get log level for `generic`
``/tools/log-level-http``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-http/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-http/put>`__,Get log level for `http`
``/tools/log-level-jobs``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-jobs/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-jobs/put>`__,Get log level for `jobs`
``/tools/log-level-lua``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-lua/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-lua/put>`__,Get log level for `lua`
``/tools/log-level-plugins``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-plugins/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-plugins/put>`__,Get log level for `plugins`
``/tools/log-level-sqlite``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-sqlite/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/Logs/paths/~1tools~1log-level-sqlite/put>`__,Get log level for `sqlite`
``/tools/lookup``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1lookup/post>`__,,,Look for DICOM identifiers
``/tools/metrics``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1metrics/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1metrics/put>`__,Are metrics collected?
``/tools/metrics-prometheus``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1metrics-prometheus/get>`__,,,,Get usage metrics
``/tools/now``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1now/get>`__,,,,Get UTC time
``/tools/now-local``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1now-local/get>`__,,,,Get local time
``/tools/reconstruct``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1reconstruct/post>`__,,,Reconstruct all the index
``/tools/reset``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1reset/post>`__,,,Restart Orthanc
``/tools/shutdown``,,`POST <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1shutdown/post>`__,,,Shutdown Orthanc
``/tools/unknown-sop-class-accepted``,`GET <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1unknown-sop-class-accepted/get>`__,,,`PUT <https://orthanc.uclouvain.be/api/index.html#tag/System/paths/~1tools~1unknown-sop-class-accepted/put>`__,Is unknown SOP class accepted?
